State,Sector,Improved_Source_of_Drinking_Water,Piped_Water_into_Dwelling_or_Yard_plot,Broadband,Mass_media,All,Wash_Hands_with_Water_Only,Wash_Hands_with_Water_and_Ash_mud_sand,Wash_Hands_with_Water_and_Soap_detergent,no_Hand_Washing_Facility,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014_for_the_first_time,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014_for_the_first_time_and_owned_that_house_flat_as_on_date_of_survey,*,Acquisition_of_own_house__flat,Business,Displacement_by_development_project,Health_care,Housing_problems___insufficient_land_holding,In_search_of_better_employment,In_search_of_employment,Marriage,Migration_of_parent_earning_member_of_the_family,"Natural_disaster_(drought,flood,_tsunami,_etc.)",Others,Post_retirement,Proximity_to_place_of_work,Scarcity_of_water,"Social_political_problems_(riots,_terrorism,_political_refugee,_bad_law_and_order,_etc.)",Studies,To_take_up_employment___better_employment,Transfer_of_service__contract,Percentage_of_Persons_Who_Used_Mobile_Telephone_with_Active_Sim_Card_at_Least_Once_During_Last_Three_Months_Preceding_the_Date_of_the_Survey
Maharashtra,0.0,92.7,58.6,39.8,81.8,100.0,6.4,7.1,84.9,1.6,13.8,46.0,97.4,7.3,-,-,-,-,1.5,27.9,9.3,-,2.3,-,12.8,3.3,1.3,0,2.9,19.6,18.7,0,83.1
Maharashtra,1.0,99.9,86.8,67.8,95.1,100.0,2.5,0.6,96.2,0.6,8.0,63.2,97.3,4.9,8.5,0.1,-,1.3,5.1,25.5,8.9,-,9.8,2.4,13.5,0.7,1.4,2.5,1.4,1.7,11,6,92.4
Manipur,,75.6,39.4,50.4,93.9,100.0,19.8,4.3,71.2,4.7,8.1,96.1,99.3,3.5,-,-,-,-,-,-,-,-,-,-,76.1,-,-,-,-,23.9,-,-,89.5
Manipur,0.0,72.4,33.6,47.4,93.0,100.0,23.7,5.9,64.8,5.5,9.0,95.2,99.3,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,88.6
Manipur,1.0,82.5,52.0,56.5,95.6,100.0,11.4,0.7,85.2,2.8,6.4,98.8,99.2,6.5,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,91.3
Meghalaya,,90.0,19.8,37.3,86.9,100.0,11.7,5.5,63.8,19.0,6.3,67.6,55.6,5.1,-,-,-,-,-,11.8,-,25.3,-,-,25.2,25.1,-,-,-,-,-,12.6,76.1
Meghalaya,0.0,88.2,9.6,31.0,84.5,100.0,13.8,6.4,58.3,21.6,7.2,70.1,54.5,0.9,-,-,-,-,-,81.5,-,-,-,-,-,-,-,-,-,-,-,18.5,73.1
Meghalaya,1.0,99.4,73.8,63.8,97.3,100.0,0.8,0.6,93.0,5.6,2.8,39.5,76.8,9.1,-,-,-,-,-,4.7,-,27.9,-,-,27.7,27.7,-,-,-,-,-,12,89.8
Mizoram,,96.5,65.0,51.3,93.4,100.0,6.5,0.3,93.2,0.0,14.7,71.0,99.9,2.6,-,-,-,-,-,32.8,20.5,7.3,-,-,20.5,-,-,-,-,17.8,1.1,-,95.7
Mizoram,0.0,94.5,39.7,35.8,88.8,100.0,10.9,0.5,88.7,0.0,15.0,69.9,100.0,4.8,-,-,-,-,-,42.2,26.4,4.6,-,-,15.5,-,-,-,-,10.4,0.9,-,93.3
Mizoram,1.0,99.0,96.6,69.6,98.8,100.0,1.1,0.1,98.9,0.0,14.5,72.3,99.8,1,-,-,-,-,-,-,-,16.8,-,-,38.1,-,-,-,-,43.5,1.7,-,98.5
